koi,kepid,prot,prot_ref,prot_numflag,a18_prot,m13_prot,m15_prot,w13_prot
2597,12120307.0,,,1.0,21.13,,47.61,
2603,2443393.0,,,1.0,7.21,,74.36,
2607,5095635.0,16.02,a18,3.0,16.02,15.94,15.95,
2608,6269070.0,,,1.0,7.18,20.3,20.18,
2612,9602613.0,,,1.0,24.5,,37.12,
2623,10916600.0,12.47,a18,3.0,12.47,12.26,12.28,
2631,,,,0.0,,,,
2632,11337566.0,11.13,a18,3.0,11.13,11.06,10.98,
2635,4914566.0,12.71,a18,2.0,12.71,,12.59,
2636,6198182.0,16.55,a18,3.0,16.55,16.23,16.09,18.28
2639,11391755.0,,,1.0,21.57,,,
2640,,,,0.0,,,,
2641,8894646.0,,,1.0,18.7,,70.36,
2659,8803882.0,,,0.0,9.08,,,
2668,5513012.0,22.55,a18,3.0,22.55,21.92,22.02,
2672,11253827.0,13.31,a18,3.0,13.31,13.27,13.23,13.39
2674,8022489.0,,,1.0,29.46,,62.71,
2675,5794570.0,6.13,a18,3.0,6.13,6.0,6.01,5.99
2676,5649325.0,,,0.0,,,,
2677,9958387.0,,,1.0,1.44,,90.06,
2678,6779260.0,6.21,a18,3.0,6.21,6.14,6.18,6.16
2686,7826659.0,22.46,a18,3.0,22.46,22.06,22.15,24.16
2687,7202957.0,14.44,a18,3.0,14.44,14.22,14.38,15.3
2690,5369827.0,12.57,a18,3.0,12.57,12.36,12.28,
2694,9475552.0,38.16,a18,3.0,38.16,37.7,37.78,40.42
2698,5128673.0,,,1.0,17.34,,55.29,
2706,9697131.0,6.74,a18,3.0,6.74,6.27,6.24,6.53
2712,11098013.0,,,1.0,5.91,,72.99,
2714,12206313.0,,,1.0,14.71,,73.24,
2717,9467404.0,,,1.0,18.79,,60.8,
2720,8176564.0,,,1.0,14.63,,0.3,
2722,7673192.0,9.13,a18,2.0,9.13,8.96,9.01,10.27
2729,12008872.0,,,1.0,20.61,,75.09,
2730,8415200.0,,,1.0,31.68,,21.78,
2732,9886361.0,20.8,a18,2.0,20.8,,21.18,
2737,6614629.0,,,0.0,,,,
2740,3336765.0,,,0.0,,,,
2741,5513893.0,,,0.0,18.46,,,
2743,8095441.0,25.33,a18,3.0,25.33,23.97,23.95,
2748,9962455.0,,,1.0,,,50.22,
2749,8687088.0,,,0.0,11.49,,,
2753,6265792.0,,,1.0,39.16,,61.52,
2754,10905911.0,23.9,a18,3.0,23.9,,22.58,
2755,3545135.0,,,1.0,42.48,,75.15,
2756,6964929.0,,,1.0,12.95,,19.08,19.98
2758,8703129.0,,,1.0,10.54,,,0.0
2762,8210018.0,45.65,m15,2.0,,44.55,45.65,
2763,3834322.0,,,0.0,28.2,26.67,27.03,23.41
2765,11188249.0,,,0.0,,,,
2768,,,,0.0,,,,
2769,9692128.0,,,0.0,,,,
2771,11456382.0,,,0.0,2.76,2.66,,2.56
2781,8190354.0,,,0.0,,,,
2785,10001368.0,23.51,a18,2.0,23.51,,11.37,
2786,9466429.0,21.19,a18,2.0,21.19,,,
2792,11127479.0,17.4,a18,3.0,17.4,,16.59,
2796,11246161.0,,,1.0,19.43,,17.96,
2801,5905822.0,,,1.0,24.97,,47.58,
2803,9898447.0,8.98,a18,2.0,8.98,16.93,16.84,
2805,11135308.0,,,1.0,,,33.47,
2807,2985587.0,,,1.0,4.8,,74.63,
2815,9665922.0,,,0.0,,,,
2828,6436029.0,25.03,m15,3.0,,25.34,25.03,24.55
2829,6197215.0,23.32,a18,2.0,23.32,,24.06,7.97
2831,9692557.0,,,0.0,,,,
2832,9995402.0,39.29,a18,3.0,39.29,37.09,37.2,42.72
2833,9109857.0,12.35,a18,2.0,12.35,,0.28,
2838,6607357.0,,,1.0,15.66,,74.86,
2840,6467363.0,,,1.0,35.1,,50.98,
2841,8758204.0,,,1.0,,,,
2848,7749773.0,22.67,m15,2.0,41.6,23.0,22.67,
2857,6345732.0,8.2,a18,3.0,8.2,,7.91,
2859,10397751.0,25.78,m15,2.0,16.73,,25.78,
2863,3241557.0,,,0.0,,,,
2864,3957082.0,,,0.0,,,,
2866,4138951.0,,,1.0,13.22,,78.47,
2874,9149789.0,,,1.0,17.96,,47.52,
2875,12170648.0,,,0.0,23.3,,23.1,22.7
2884,9652649.0,,,0.0,,,,
2885,11100670.0,,,0.0,,,,
2904,3969687.0,28.35,a18,3.0,28.35,,29.66,
2906,6716545.0,,,1.0,42.96,,45.15,
2913,9693006.0,,,1.0,21.12,,48.75,24.16
2915,5613821.0,34.78,a18,2.0,34.78,,28.18,
2916,7269881.0,,,0.0,20.11,,80.14,40.42
2925,6974658.0,30.45,m15,2.0,12.04,,30.45,25.38
2926,10122538.0,23.84,m15,3.0,,23.91,23.84,
2931,8611257.0,31.15,a18,2.0,31.15,31.32,31.77,
2943,9838468.0,26.33,a18,2.0,26.33,,25.38,
2949,6026737.0,,,1.0,21.07,,39.57,
2956,8801316.0,,,1.0,19.26,,44.15,
2960,10876237.0,,,0.0,,,,
2961,10471515.0,11.99,a18,3.0,11.99,11.87,11.81,
2964,10098844.0,,,1.0,10.95,,38.16,
2968,8873090.0,,,1.0,21.17,,50.21,
2970,5450893.0,9.45,a18,3.0,9.45,,9.19,
2971,4770174.0,5.78,a18,3.0,5.78,5.51,5.56,
2974,,,,0.0,,,,
2977,11090556.0,20.0,a18,2.0,20.0,,79.46,
2979,2720514.0,,,0.0,,,,
2984,7918652.0,12.85,a18,2.0,12.85,,42.75,
3008,9070666.0,,,1.0,29.15,,73.23,
3009,12405333.0,13.69,a18,3.0,13.69,,13.51,6.73
3012,7109851.0,,,0.0,,,,
3015,11403530.0,,,1.0,19.42,,56.37,
3017,12072872.0,,,1.0,14.46,,30.62,
3021,3348285.0,,,0.0,,,,13.39
3023,7732285.0,,,0.0,,,,
3032,10585738.0,,,1.0,,,,
3039,5445681.0,,,1.0,,,25.36,
3046,,,,0.0,,,,
3052,8827575.0,26.9,a18,3.0,26.9,27.82,27.75,28.79
3057,3234843.0,,,1.0,,,25.78,
3060,11019987.0,13.17,a18,3.0,13.17,13.13,13.18,
3065,5040077.0,15.54,a18,3.0,15.54,15.03,15.22,
3075,3328080.0,,,1.0,32.02,,50.55,
3083,7106173.0,21.47,a18,3.0,21.47,21.22,21.23,
3086,10749059.0,,,1.0,14.85,,33.36,
3087,9119568.0,,,0.0,,,,17.84
3093,5096590.0,22.28,a18,2.0,22.28,22.06,10.93,
3096,7455981.0,,,1.0,,,54.29,
3097,7582689.0,16.16,a18,2.0,16.16,,17.58,
3100,7107561.0,,,0.0,,,,
3109,11572193.0,5.89,a18,3.0,5.89,5.46,5.6,
3111,8581240.0,17.39,a18,2.0,17.39,,17.49,
3114,9288237.0,12.08,a18,3.0,12.08,,,
3117,6523351.0,23.72,a18,3.0,23.72,23.94,23.82,17.03
3122,12416661.0,11.61,a18,3.0,11.61,,11.2,
3125,8751796.0,6.49,a18,3.0,6.49,,6.54,
3128,7609674.0,,,1.0,20.62,,43.36,21.71
3130,10252275.0,28.08,a18,3.0,28.08,27.02,27.38,30.55
3132,9541295.0,,,0.0,,,,22.7
3146,10908248.0,,,1.0,30.48,,68.91,
3165,9579208.0,5.5,a18,3.0,5.5,,5.29,
3167,12255382.0,,,0.0,12.82,,,
3168,4450844.0,,,1.0,36.31,,51.05,
3180,,,,0.0,,,,
3184,4735826.0,19.53,a18,2.0,19.53,,,
3194,12004971.0,10.79,a18,3.0,10.79,,10.77,
3195,,,,0.0,,,,
3196,9002538.0,,,1.0,19.58,,19.69,
3197,8443527.0,7.23,a18,3.0,7.23,,,
3201,,,,0.0,,,,
3202,4262040.0,,,1.0,27.23,,34.14,
3203,3122872.0,,,1.0,,,,
3215,3342952.0,,,0.0,,,,
3218,10191036.0,,,0.0,,,,
3220,11189311.0,5.38,a18,3.0,5.38,,5.12,
3224,10384298.0,22.7,a18,3.0,22.7,,22.5,
3225,3109550.0,29.12,m15,3.0,13.05,,29.12,
3227,8975368.0,,,0.0,,,,
3232,9569711.0,13.53,a18,3.0,13.53,,13.33,
3233,,,,0.0,,,,
3234,10057494.0,4.89,a18,3.0,4.89,,3.73,
3236,7902003.0,5.31,a18,3.0,5.31,,5.07,
3237,6587796.0,10.97,m15,3.0,12.98,,10.97,
3239,5305240.0,,,0.0,,,,
3240,6206559.0,,,0.0,,,,
3244,6850665.0,,,0.0,,,,
3245,8073705.0,22.33,a18,3.0,22.33,,20.51,
3246,9885417.0,19.43,a18,3.0,19.43,,19.66,
3248,10917433.0,,,1.0,19.62,,31.04,
3249,9083564.0,,,0.0,,,,
3251,,,,0.0,,,,
3254,9899141.0,,,0.0,,,,
3277,3120904.0,16.13,m15,2.0,24.55,,16.13,
3278,3342467.0,,,0.0,12.46,,12.52,
3283,,,,0.0,,,,
3287,6584273.0,17.38,a18,2.0,17.38,,22.78,
3288,5768816.0,16.37,a18,3.0,16.37,,16.17,
3301,8301878.0,,,1.0,,,29.01,
3308,3632089.0,31.1,a18,2.0,31.1,,26.74,
3310,12253769.0,28.52,m15,3.0,,,28.52,
3315,8554701.0,,,1.0,22.98,,79.31,
3338,8263752.0,,,0.0,,,,
3340,3529290.0,12.52,a18,2.0,12.52,,12.27,
3346,11241912.0,,,1.0,,,21.84,
3358,4263529.0,15.74,a18,3.0,15.74,,,
3363,11651712.0,,,1.0,34.98,,130.65,
3371,11125797.0,,,1.0,23.24,,6.98,
3378,4376629.0,,,0.0,,,,
3382,9991621.0,,,0.0,,,,
3384,8644365.0,,,1.0,18.47,,83.63,
3403,11754430.0,,,1.0,29.12,,28.94,
3419,11519134.0,,,0.0,,,,
3421,5004909.0,,,0.0,10.77,,10.79,
3422,5898983.0,,,0.0,,,,
3425,9117416.0,15.86,a18,2.0,15.86,,,
3436,6265665.0,14.68,a18,3.0,14.68,,14.7,
3438,6599975.0,,,1.0,10.92,,19.45,
3451,10793576.0,13.01,a18,2.0,13.01,,7.7,
3456,6364582.0,21.59,a18,2.0,21.59,,27.34,
3465,9763612.0,11.13,a18,3.0,11.13,,11.38,
3473,8905246.0,7.84,a18,3.0,7.84,,,
3497,8424002.0,9.33,a18,3.0,9.33,,9.43,
3500,6058816.0,,,1.0,29.45,,59.09,
3503,,,,0.0,,,,
3541,8868364.0,,,1.0,44.18,,,
3608,10259301.0,,,0.0,27.05,,,
3641,3534118.0,,,0.0,,,,
3663,12735740.0,23.77,a18,2.0,23.77,,22.66,
3678,4150804.0,,,1.0,43.66,,28.23,
3680,9025971.0,,,1.0,29.81,,14.85,
3681,2581316.0,,,1.0,7.77,,7.83,
3683,10795103.0,,,1.0,7.16,,6.64,
3689,7017372.0,,,1.0,,,0.4,
3780,6775985.0,,,0.0,,,,
3787,7813039.0,,,0.0,36.93,,,
3791,5437945.0,18.6,a18,2.0,18.6,,17.93,
3801,8827930.0,,,1.0,8.89,,29.17,
3811,4638237.0,,,1.0,20.96,,,
3823,4820550.0,14.52,a18,3.0,14.52,,14.42,
3835,2581554.0,7.88,a18,3.0,7.88,,7.87,
3853,2697935.0,,,0.0,21.5,,,
3864,4164922.0,9.67,a18,3.0,9.67,,9.56,
3867,9353742.0,,,1.0,28.71,,20.98,
3871,9752982.0,,,0.0,13.57,,,
3876,3440118.0,4.73,a18,3.0,4.73,,4.7,
3880,4147444.0,,,0.0,4.24,,4.2,
3889,10733174.0,,,0.0,18.49,,19.55,
3890,8564976.0,,,1.0,6.86,,,
3891,8765560.0,,,1.0,29.16,,,
3892,11760860.0,23.37,a18,2.0,23.37,,29.05,
3907,7137213.0,2.17,a18,3.0,2.17,,2.14,
3908,10363115.0,,,1.0,20.6,,,
3913,10281221.0,25.36,a18,2.0,25.36,,29.62,
3925,10788461.0,17.0,m15,3.0,,,17.0,
3928,4242692.0,20.81,a18,3.0,20.81,,,
3936,4947556.0,7.23,a18,3.0,7.23,,7.15,
3943,7679812.0,,,1.0,9.2,,8.99,
3946,8636434.0,10.06,a18,2.0,10.06,,20.05,
3980,6750902.0,,,1.0,,,,
3991,10352333.0,5.27,m15,3.0,,,5.27,
4002,5773121.0,18.74,a18,3.0,18.74,,18.38,
4004,4814502.0,6.21,a18,3.0,6.21,,6.24,
4005,8142787.0,,,1.0,19.0,,13.13,
4011,11969988.0,25.08,a18,2.0,25.08,,19.54,
4014,9009953.0,16.79,a18,2.0,16.79,,16.46,
4018,4929299.0,,,0.0,,,,
4022,7733731.0,13.88,a18,2.0,13.88,,13.95,
4024,10714072.0,11.26,a18,3.0,11.26,,11.14,
4032,7100673.0,,,1.0,19.23,,43.52,
4036,11415243.0,26.39,a18,3.0,26.39,,26.21,
4037,8264402.0,7.93,a18,3.0,7.93,,7.55,
4053,1718958.0,9.27,a18,3.0,9.27,,9.23,
4054,6428794.0,23.78,m15,3.0,,,23.78,
4060,9086154.0,32.51,a18,3.0,32.51,,32.5,
4062,11858979.0,,,0.0,,,28.3,
4066,8686373.0,5.3,a18,2.0,5.3,,,
4067,5530112.0,,,1.0,,,4.62,
4070,10186945.0,,,0.0,,,,
4072,6755944.0,,,1.0,18.03,,27.5,
4103,3747817.0,16.94,a18,3.0,16.94,,16.75,
4109,7907808.0,,,1.0,17.61,,48.58,
4121,6349881.0,,,1.0,,,46.59,
4123,6140059.0,,,1.0,22.36,,62.38,
4129,11970988.0,33.63,a18,3.0,33.63,,32.75,
4136,7256914.0,,,1.0,29.64,,43.05,
4144,3112129.0,,,1.0,,,,
4146,10000941.0,12.16,a18,3.0,12.16,,13.14,
4156,5881120.0,,,1.0,20.76,,92.15,
4157,4548098.0,6.02,a18,2.0,6.02,,5.91,
4159,6607644.0,31.92,a18,2.0,31.92,,75.58,
4160,7610663.0,10.43,a18,3.0,10.43,,10.41,
4188,6879171.0,10.46,a18,3.0,10.46,,10.23,
4198,9072639.0,,,0.0,19.29,,19.43,
4199,5340878.0,35.1,a18,2.0,35.1,,36.84,
4204,10593535.0,,,1.0,,,87.45,
4212,1724719.0,9.2,a18,2.0,9.2,,72.51,
4215,9366617.0,,,1.0,15.02,,22.62,
4222,9183378.0,15.89,a18,3.0,15.89,,15.49,
4226,9491832.0,14.6,a18,2.0,14.6,,24.37,
4230,9872831.0,,,1.0,,,44.5,
4235,10794974.0,5.4,a18,3.0,5.4,,5.24,
4245,12737015.0,,,1.0,40.25,,62.93,
4246,5177859.0,7.28,a18,3.0,7.28,,7.17,
4251,8741470.0,17.98,a18,3.0,17.98,,17.72,
4257,7901016.0,,,1.0,16.72,,32.3,
4269,8890924.0,,,1.0,12.77,,,
4276,6026924.0,16.34,a18,3.0,16.34,,16.09,
4288,4548011.0,,,1.0,22.16,,18.73,
4292,10063208.0,,,1.0,16.0,,56.3,
4296,7661893.0,24.79,a18,2.0,24.79,,85.39,
4298,2852941.0,35.55,d20,2.0,,,,
4301,8773015.0,,,1.0,35.19,,68.08,
4302,6290935.0,,,1.0,,,68.39,
4304,11612280.0,,,1.0,23.44,,43.16,
4312,10722485.0,,,1.0,,,74.39,
4318,9286088.0,2.34,m15,2.0,24.45,,2.34,
4323,5385410.0,,,1.0,26.94,,52.58,
4329,12456063.0,7.49,a18,3.0,7.49,,7.05,
4335,10730070.0,32.26,m15,2.0,38.1,,32.26,
4356,8459663.0,12.18,m15,3.0,,,12.18,
4366,10647452.0,38.99,a18,2.0,38.99,,38.17,
4367,4773392.0,9.65,a18,2.0,9.65,,27.32,
4368,5471489.0,,,1.0,,,,
4374,10991114.0,,,1.0,33.38,,23.8,
4382,,,,0.0,,,,
4383,9883606.0,14.21,a18,3.0,14.21,,14.22,
4385,3645438.0,,,1.0,18.74,,46.13,
4399,8345384.0,17.73,a18,3.0,17.73,,17.56,
4400,2831055.0,21.99,a18,3.0,21.99,,21.92,
4407,8396660.0,19.41,a18,3.0,19.41,,20.08,
4409,5308537.0,23.92,a18,2.0,23.92,,19.08,
4411,5281113.0,11.85,a18,3.0,11.85,,11.66,
4421,9836563.0,,,1.0,23.18,,27.74,
4423,3866536.0,,,0.0,7.65,,7.64,
4426,,,,0.0,,,,
4430,9642018.0,,,0.0,,,,
4431,9936080.0,9.9,a18,2.0,9.9,,52.81,
4435,8278685.0,10.37,a18,2.0,10.37,,31.27,
4441,8416523.0,,a18,2.0,,,,
4443,5780855.0,7.43,m15,2.0,20.6,,7.43,
4446,10329196.0,,,1.0,18.73,,,
4452,4474462.0,,,1.0,20.61,,19.61,
4457,12109267.0,13.01,a18,2.0,13.01,,75.19,
4469,10006641.0,,,0.0,,,,
4473,7133294.0,16.37,a18,3.0,16.37,,16.81,
4480,10467714.0,20.31,d20,2.0,5.53,,10.41,
4482,7778427.0,6.7,a18,2.0,6.7,,70.96,
4505,8493354.0,10.01,m15,2.0,21.41,,10.01,
4546,5033823.0,,,1.0,40.45,,55.37,
4556,10399321.0,,,0.0,27.07,,57.57,
4557,10257229.0,,,1.0,,,68.71,
4561,7747457.0,,,1.0,,,0.9,
4567,8332521.0,5.79,a18,2.0,5.79,,5.37,
4575,9893468.0,12.01,a18,2.0,12.01,,72.98,
4580,8628761.0,,,1.0,34.39,,79.13,
4581,2572029.0,,,1.0,23.87,,74.07,
4582,7905106.0,14.44,a18,2.0,14.44,,31.85,
4585,9009036.0,9.69,a18,2.0,9.69,,9.37,
4588,8806985.0,13.67,a18,3.0,13.67,,13.43,
4601,11153476.0,8.82,d20,2.0,,,17.02,
4603,8430053.0,,,1.0,18.07,,81.7,
4605,12458605.0,,,1.0,17.61,,77.75,
4613,10220837.0,26.47,a18,3.0,26.47,,24.84,
4614,7583650.0,,,1.0,26.81,,27.7,
4617,9701962.0,,,1.0,1.1,,48.32,
4633,5954001.0,14.86,a18,2.0,14.86,,15.2,
4637,9457728.0,20.51,a18,3.0,20.51,,20.07,
4640,9412623.0,11.42,a18,2.0,11.42,,,
4647,9947653.0,43.64,a18,2.0,43.64,,53.14,
4651,6717252.0,16.76,a18,3.0,16.76,,16.46,
4653,11181260.0,8.43,a18,2.0,8.43,,45.14,
4657,6527078.0,17.05,d20,2.0,29.63,,77.22,
4659,2857607.0,24.22,a18,2.0,24.22,,23.94,
4663,7515336.0,,,1.0,,,52.37,
4665,,,,0.0,,,,
4674,6839010.0,,,1.0,24.25,,50.35,
4686,5819801.0,34.38,a18,2.0,34.38,,36.03,
4693,8417078.0,,,1.0,20.86,,27.2,
4699,7891294.0,10.56,a18,2.0,10.56,,10.4,
4715,6264750.0,12.84,a18,2.0,12.84,,58.28,
4716,11290515.0,14.87,m15,2.0,,,14.87,
4717,4902202.0,,,0.0,14.3,,35.57,
4725,7778621.0,26.86,a18,2.0,26.86,,42.21,
4744,5709906.0,,,1.0,23.03,,52.88,
4745,11757451.0,,,1.0,16.83,,46.71,
4763,8349399.0,,,1.0,12.69,,32.02,
4765,10615440.0,8.75,a18,2.0,8.75,,8.51,
4771,11658036.0,,,1.0,24.87,,64.63,
4773,7906892.0,18.77,a18,2.0,18.77,,19.2,
4774,4277304.0,31.32,a18,2.0,31.32,,30.73,
4775,8626325.0,,,1.0,20.39,,125.65,
4792,11618569.0,16.41,a18,2.0,16.41,,16.13,
4811,8811490.0,17.94,a18,3.0,17.94,,16.59,
4822,,,,0.0,,,,
4829,12401132.0,,,1.0,,,0.3,
4833,10584140.0,,,1.0,10.34,,73.61,
4834,8233326.0,,,1.0,,,,
4839,9110610.0,,,1.0,27.93,,78.85,
4841,5480884.0,,,0.0,,,,
4850,6786224.0,17.33,a18,2.0,17.33,,24.96,
4864,,,,0.0,,,,
4887,4059887.0,,,0.0,19.52,,19.47,
4892,10586744.0,,,1.0,,,51.84,
4898,,,,0.0,,,,
4907,5437762.0,,,1.0,16.81,,23.26,
4961,,,,0.0,,,,
4978,,,,0.0,,,,
5018,3854101.0,,,0.0,18.73,,20.43,
5021,,,,0.0,,,,
5039,,,,0.0,,,,
5048,,,,0.0,,,,
5057,,,,0.0,,,,
5084,4760478.0,,,1.0,8.01,,27.41,
5085,,,,0.0,,,,
5107,,,,0.0,,,,
5119,,,,0.0,,,,
5124,5094412.0,,,0.0,,,19.02,
5135,,,,0.0,,,,
5155,5374838.0,,,1.0,,,38.94,
5159,,,,0.0,,,,
5198,,,,0.0,,,,
5216,,,,0.0,,,,
5236,6067545.0,,,0.0,,,12.5,
5241,6139220.0,,,0.0,22.86,,63.22,
5247,,,,0.0,,,,
5269,,,,0.0,,,,
5278,6372194.0,,,1.0,,,43.04,
5284,6443093.0,,,1.0,,,79.11,
5290,,,,0.0,,,,
5324,,,,0.0,,,,
5375,7213311.0,,,1.0,,,,
5379,,,,0.0,,,,
5380,,,,0.0,,,,
5393,,,,0.0,,,,
5423,,,,0.0,,,,
5546,,,,0.0,,,,
5567,8742270.0,,,0.0,46.42,,,
5592,,,,0.0,,,,
5612,,,,0.0,,,,
5613,,,,0.0,,,,
5622,9141355.0,,,1.0,,,36.55,
5626,,,,0.0,,,,
5645,,,,0.0,,,,
5689,,,,0.0,,,,
5702,,,,0.0,,,,
5706,9715631.0,,,1.0,,,78.77,
5782,,,,0.0,,,,
5790,10394802.0,,,1.0,,,27.67,
5798,,,,0.0,,,,
5837,,,,0.0,,,,
5850,,,,0.0,,,,
5852,,,,0.0,,,,
5855,11036168.0,,,1.0,18.34,,25.02,
5877,,,,0.0,,,,
5888,,,,0.0,,,,
5900,,,,0.0,,,,
5929,11716643.0,37.72,m15,2.0,,,37.72,
5949,,,,0.0,,,,
5953,,,,0.0,,,,
6102,,,,0.0,,,,
